rate,e,env_r,env_d
0.1,0.30743297418885096,0.18324707187539452,0.8818864281199352
0.2,0.40719875164749036,0.20178615231289507,0.5113633063538641
0.3,0.4720858431081646,0.21014231880383225,0.37892181174645156
0.45,0.5251660652486115,0.17384559378385483,0.285290573954927
0.65,0.5824050152291583,0.13803432417633157,0.22378931025319526
0.9,0.5707402311423262,0.12484441470005767,0.18266733499762886
1.2,0.7112154483553451,0.12076199555799545,0.15406071553318612
0.1,0.4127265617849453,0.48166427468488826,0.8818864281199352
0.2,0.47093207061623643,0.2273137123517682,0.5113633063538641
0.3,0.433464982327536,0.1557875135253314,0.37892181174645156
0.45,0.5266226430053721,0.17081664379710496,0.285290573954927
0.65,0.5383942020951883,0.11636601752629559,0.22378931025319526
0.9,0.552055994733347,0.12691451838687964,0.18266733499762886
1.2,0.6701131203398707,0.1176853066179476,0.15406071553318612
0.1,0.3886470775862279,0.44075887737816716,1.0996848837620425
0.2,0.4859399424111736,0.4273942458206217,0.638864626492859
0.3,0.44757558408163334,0.2909538818224052,0.4740176625438698
0.45,0.5606511499614498,0.25209562545213277,0.35739067696494115
0.65,0.6868190469697287,0.2149318075054931,0.28071809067314296
0.9,0.27216976982843305,0.18781151366815366,0.22940472512860063
1.2,0.67536323303426,0.10892542714270008,0.19367544928775535
0.1,0.4422196119449784,0.5722706499715524,1.0996848837620425
0.2,0.5480565672897983,0.34092968572229954,0.638864626492859
0.3,0.5991705060000018,0.36474050848624984,0.4740176625438698
0.45,0.6217170682500859,0.2798979338545478,0.35739067696494115
0.65,0.6205485417958715,0.16614567731145277,0.28071809067314296
0.9,0.7137655821590536,0.1362570353147035,0.22940472512860063
1.2,0.7123647853466092,0.13005172726149347,0.19367544928775535
0.1,0.4189072008015483,0.6055816092347932,0.962057921585384
0.2,0.429180033802426,0.35478742385347745,0.5578508796587608
0.3,0.4943210589272151,0.21084492153511822,0.4133692491779472
0.45,0.5718644192209116,0.23470622574463443,0.31122608067810226
0.65,0.6021034121956332,0.13917740533621478,0.24413379300348578
0.9,0.5424657238114489,0.11458055902162499,0.19927345636104968
1.2,0.7499894220072528,0.1262296954274814,0.16806623512711216
0.1,0.3911368318037936,0.18487828716697638,0.962057921585384
0.2,0.4922226032346716,0.18807398731577202,0.5578508796587608
0.3,0.5872585063698443,0.253080885954344,0.4133692491779472
0.45,0.595141398972739,0.190830847162253,0.31122608067810226
0.65,0.7624166039430664,0.1887389478228278,0.24413379300348578
0.9,0.629473979986541,0.07867878307761317,0.19927345636104968
1.2,0.7982428511096088,0.11964482710736477,0.16806623512711216
0.1,0.3971061737938424,0.7323515378588377,1.0544923542923694
0.2,0.48331525875238707,0.4187866474943555,0.6126099158150703
0.3,0.48874775235418294,0.24846697998844214,0.45453748463110794
0.45,0.5218486066548647,0.27236400284922724,0.34270338887049145
0.65,0.5255238458965293,0.1897717024554928,0.2691817307824658
0.9,0.5625130484415358,0.1260587121035711,0.2199771336849595
1.2,0.6730174732234647,0.11373360655844214,0.1857161842485325
0.1,0.4317511949310075,0.7474682671433528,1.0544923542923694
0.2,0.4048620552898138,0.24415735851028939,0.6126099158150703
0.3,0.4215744199806041,0.20670015422075386,0.45453748463110794
0.45,0.5409930104267167,0.19973879674068354,0.34270338887049145
0.65,0.5238147523032196,0.19975895424736376,0.2691817307824658
0.9,0.542533359952473,0.147755585668134,0.2199771336849595
